subject,auc,ap,T_OPT,n_events,sens_ng,fa_ng,lat_ng,sens_g,fa_g,lat_g,fa_at_80,lat_at_80,fa_at_70
0,0.5504575851197261,0.46957506133803334,92.0,265.0,0.7773584905660378,46.14035087719298,809.7400563733165,0.6113207547169811,31.228070175438596,751.7921146953404,40.87719298245614,789.1813755325624,36.14035087719298
1,,,,,,,,,,,,,
2,0.537527935368705,0.3741012169814534,54.0,194.0,0.09278350515463918,7.763533370245751,480.28673835125454,0.05670103092783505,6.0206993483538485,511.7302052785924,26.142510328378552,912.0048999591669,27.885344350270454
3,0.5247263720347641,0.2950807156348651,54.0,176.0,0.05113636363636364,1.588694335520441,618.2795698924731,0.005681818181818182,0.8665605466475134,1000.0,29.751912101564624,808.7074216106474,29.751912101564624
4,0.5402811755743421,0.3010586279880821,60.0,239.0,0.602510460251046,32.20954244103902,753.6962365591397,0.502092050209205,25.47114444082165,744.2204301075268,28.705575480925987,827.1770015042621,29.379415280947725
5,0.5364279935444829,0.28563419627473835,92.0,157.0,0.08280254777070063,3.183455161347834,635.2357320099255,0.05732484076433121,1.591727580673917,657.7060931899641,34.089499019433056,818.2283666154633,30.110180067748264
6,0.4506600834129876,0.4585330797415558,70.0,221.0,0.7647058823529411,26.99172834131476,797.194121015461,0.7013574660633484,25.91205920766217,734.0270551508845,22.673051806704397,806.5422254440015,25.91205920766217
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,0.6017977745215595,0.47542270593413305,46.0,263.0,0.9391634980988594,39.4722827402566,864.3071699098864,0.8973384030418251,32.868554829339146,814.3110989611808,30.167029774872915,730.4693471946186,22.362624061970468
